game,turn,pre_total_score,chance_score,ones_score,twos_score,threes_score,fours_score,fives_score,sixes_score,three_kind_score,four_kind_score,full_house_score,small_straight_score,large_straight_score,yahtzee_score,hand_1_dice_1,hand_1_dice_2,hand_1_dice_3,hand_1_dice_4,hand_1_dice_5,chance_potential_1,ones_potential_1,twos_potential_1,threes_potential_1,fours_potential_1,fives_potential_1,sixes_potential_1,three_kind_potential_1,four_kind_potential_1,full_house_potential_1,small_straight_potential_1,large_straight_potential_1,yahtzee_potential_1,picks_1_dice_1,picks_1_dice_2,picks_1_dice_3,picks_1_dice_4,picks_1_dice_5,hand_2_dice_1,hand_2_dice_2,hand_2_dice_3,hand_2_dice_4,hand_2_dice_5,chance_potential_2,ones_potential_2,twos_potential_2,threes_potential_2,fours_potential_2,fives_potential_2,sixes_potential_2,three_kind_potential_2,four_kind_potential_2,full_house_potential_2,small_straight_potential_2,large_straight_potential_2,yahtzee_potential_2,picks_2_dice_1,picks_2_dice_2,picks_2_dice_3,picks_2_dice_4,picks_2_dice_5,hand_3_dice_1,hand_3_dice_2,hand_3_dice_3,hand_3_dice_4,hand_3_dice_5,chance_potential_3,ones_potential_3,twos_potential_3,threes_potential_3,fours_potential_3,fives_potential_3,sixes_potential_3,three_kind_potential_3,four_kind_potential_3,full_house_potential_3,small_straight_potential_3,large_straight_potential_3,yahtzee_potential_3,score_pick,turn_score,post_total_score
2,13,116,19,3,4,6,12,10,12,8,17,25,0,0,-1,6,5,4,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,4,4,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,0,4,4,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,yahtzee,0,116
3,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,3,3,1,18,1,0,6,0,5,6,0,0,0,0,0,0,0,0,1,1,0,3,3,3,1,1,11,2,0,9,0,0,0,11,0,25,0,0,0,1,1,1,1,1,3,3,3,1,1,11,2,0,9,0,0,0,11,0,25,0,0,0,full_house,25,25
3,2,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,6,6,5,5,3,25,0,0,3,0,10,12,0,0,-1,0,0,0,1,1,1,1,0,6,6,5,5,5,27,0,0,0,0,15,12,27,0,-1,0,0,0,1,1,1,1,1,6,6,5,5,5,27,0,0,0,0,15,12,27,0,-1,0,0,0,chance,27,52
3,3,52,27,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,6,4,3,2,2,-1,0,4,3,4,0,6,0,0,-1,0,0,0,0,0,0,1,1,6,5,3,2,2,-1,0,4,3,0,5,6,0,0,-1,0,0,0,0,0,0,1,1,5,4,2,2,2,-1,0,6,0,4,5,0,15,0,-1,0,0,0,three_kind,15,67
3,4,67,27,-1,-1,-1,-1,-1,-1,15,-1,25,-1,-1,-1,6,5,4,3,3,-1,0,0,6,4,5,6,-1,0,-1,30,0,0,0,0,0,1,1,5,4,4,3,3,-1,0,0,6,8,5,0,-1,0,-1,0,0,0,0,1,1,1,1,4,4,4,3,3,-1,0,0,6,12,0,0,-1,0,-1,0,0,0,fours,12,79
3,5,79,27,-1,-1,-1,12,-1,-1,15,-1,25,-1,-1,-1,5,3,3,2,1,-1,1,2,6,-1,5,0,-1,0,-1,0,0,0,0,1,1,0,0,4,3,3,3,2,-1,0,2,9,-1,0,0,-1,0,-1,0,0,0,0,1,1,1,0,5,5,3,3,3,-1,0,0,9,-1,10,0,-1,0,-1,0,0,0,fives,10,89
3,6,89,27,-1,-1,-1,12,10,-1,15,-1,25,-1,-1,-1,6,4,4,3,1,-1,1,0,3,-1,-1,6,-1,0,-1,0,0,0,0,1,1,0,0,5,4,4,4,3,-1,0,0,3,-1,-1,0,-1,0,-1,0,0,0,0,1,1,1,0,4,4,4,2,1,-1,1,2,0,-1,-1,0,-1,0,-1,0,0,0,twos,2,91
3,7,91,27,-1,2,-1,12,10,-1,15,-1,25,-1,-1,-1,6,6,5,3,2,-1,0,-1,3,-1,-1,12,-1,0,-1,0,0,0,1,1,0,0,0,6,6,3,1,1,-1,2,-1,3,-1,-1,12,-1,0,-1,0,0,0,1,1,0,1,1,6,6,2,1,1,-1,2,-1,0,-1,-1,12,-1,0,-1,0,0,0,sixes,12,103
3,8,103,27,-1,2,-1,12,10,12,15,-1,25,-1,-1,-1,4,3,3,3,1,-1,1,-1,9,-1,-1,-1,-1,0,-1,0,0,0,0,1,1,1,0,5,3,3,3,3,-1,0,-1,12,-1,-1,-1,-1,17,-1,0,0,0,0,1,1,1,1,3,3,3,3,2,-1,0,-1,12,-1,-1,-1,-1,14,-1,0,0,0,four_kind,14,117
3,9,117,27,-1,2,-1,12,10,12,15,14,25,-1,-1,-1,6,6,4,3,2,-1,0,-1,3,-1,-1,-1,-1,-1,-1,0,0,0,1,1,0,0,0,6,6,6,5,4,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,0,0,6,6,6,6,5,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,ones,0,117
